11000;Jon;Jon Yang;Yang;Male;2020-01-19;Rockhampton
11001;Eugene;Eugene Huang;Huang;Male;2020-01-15;Seaford
11002;Ruben;Ruben Torres;Torres;Male;2020-01-07;Hobart
11003;Christy;Christy Zhu;Zhu;Female;2019-12-29;North Ryde
11004;Elizabeth;Elizabeth Johnson;Johnson;Female;2020-01-23;Wollongong
11005;Julio;Julio Ruiz;Ruiz;Male;2019-12-30;East Brisbane
11006;Janet;Janet Alvarez;Alvarez;Female;2020-01-24;Matraville
11007;Marco;Marco Mehta;Mehta;Male;2020-01-09;Warrnambool
11008;Rob;Rob Verhoff;Verhoff;Female;2020-01-25;Bendigo
11009;Shannon;Shannon Carlson;Carlson;Male;2020-01-27;Hervey Bay
11010;Jacquelyn;Jacquelyn Suarez;Suarez;Female;2020-01-14;East Brisbane
11011;Curtis;Curtis Lu;Lu;Male;2019-12-30;East Brisbane
11012;Lauren;Lauren Walker;Walker;Female;2022-03-16;Bremerton
11013;Ian;Ian Jenkins;Jenkins;Male;2022-04-13;Lebanon
11014;Sydney;Sydney Bennett;Bennett;Female;2022-03-23;Redmond
11015;Chloe;Chloe Young;Young;Female;2022-01-18;Burbank
11016;Wyatt;Wyatt Hill;Hill;Male;2022-02-09;Imperial Beach
11017;Shannon;Shannon Wang;Wang;Female;2020-01-12;Sunbury
11018;Clarence;Clarence Rai;Rai;Male;2020-01-17;Bendigo
11019;Luke;Luke Lal;Lal;Male;2022-02-12;Langley
11020;Jordan;Jordan King;King;Male;2021-12-29;Metchosin
11021;Destiny;Destiny Wilson;Wilson;Female;2022-01-23;Beaverton
11022;Ethan;Ethan Zhang;Zhang;Male;2022-01-20;Bellingham
11023;Seth;Seth Edwards;Edwards;Male;2022-02-17;Bellflower
11024;Russell;Russell Xie;Xie;Male;2022-06-27;Concord
11025;Alejandro;Alejandro Beck;Beck;Male;2020-01-06;Hawthorne
11026;Harold;Harold Sai;Sai;Male;2020-01-23;Goulburn
11027;Jessie;Jessie Zhao;Zhao;Male;2020-01-16;Warrnambool
11028;Jill;Jill Jimenez;Jimenez;Female;2020-01-26;St. Leonards
11029;Jimmy;Jimmy Moreno;Moreno;Male;2020-01-19;Bendigo
11030;Bethany;Bethany Yuan;Yuan;Female;2020-02-05;Cloverdale
11031;Theresa;Theresa Ramos;Ramos;Female;2020-02-01;Matraville
11032;Denise;Denise Stone;Stone;Female;2020-02-18;Melbourne
11033;Jaime;Jaime Nath;Nath;Male;2020-02-15;Milsons Point
11034;Ebony;Ebony Gonzalez;Gonzalez;Female;2020-02-01;North Sydney
11035;Wendy;Wendy Dominguez;Dominguez;Female;2020-02-06;Cranbourne
11036;Jennifer;Jennifer Russell;Russell;Female;2022-01-22;National City
11037;Chloe;Chloe Garcia;Garcia;Female;2022-01-20;Cliffside
11038;Diana;Diana Hernandez;Hernandez;Female;2020-02-07;Lavender Bay
11039;Marc;Marc Martin;Martin;Male;2020-02-07;Wollongong
11040;Jesse;Jesse Murphy;Murphy;Male;2022-04-03;Tacoma
11041;Amanda;Amanda Carter;Carter;Female;2022-01-14;Glendale
11042;Megan;Megan Sanchez;Sanchez;Female;2022-01-21;Los Angeles
11043;Nathan;Nathan Simmons;Simmons;Male;2022-05-08;Glendale
11044;Adam;Adam Flores;Flores;Male;2020-02-28;Hervey Bay
